"","ypchtotcor","v13","v29","p6"
"244",109486,3,NA,4
"245",109486,3,NA,4
"246",60000,2,NA,5
"247",60000,2,NA,5
"248",60000,2,NA,5
"249",60000,2,NA,5
"250",60000,2,NA,5
"251",266209,3,NA,2
"252",266209,3,NA,2
"253",181379,1,NA,6
"254",181379,1,NA,6
"255",181379,1,NA,6
"256",181379,1,NA,6
"257",181379,1,NA,6
"258",181379,1,NA,6
"259",429809,1,NA,1
"260",207366,2,NA,4
"261",207366,2,NA,4
"262",207366,2,NA,4
"263",207366,2,NA,4
"264",30679,2,NA,5
"265",30679,2,NA,5
"266",30679,2,NA,5
"267",30679,2,NA,5
"268",30679,2,NA,5
"269",236927,9,NA,2
"270",236927,9,NA,2
"271",429712,1,NA,1
"272",209611,1,NA,3
"273",209611,1,NA,3
"274",209611,1,NA,3
"275",855556,1,NA,3
"276",855556,1,NA,3
"277",855556,1,NA,3
"278",23333,2,NA,3
"279",23333,2,NA,3
"280",23333,2,NA,3
"281",284690,2,NA,1
"282",1462500,1,NA,1
"283",162600,1,NA,5
"284",162600,1,NA,5
"285",162600,1,NA,5
"286",162600,1,NA,5
"287",162600,1,NA,5
"288",347374,1,NA,1
"289",216806,9,NA,3
"290",216806,9,NA,3
"291",216806,9,NA,3
"292",84949,2,NA,4
"293",84949,2,NA,4
"294",84949,2,NA,4
"295",84949,2,NA,4
"296",660124,1,NA,1
"297",121558,1,NA,4
"298",121558,1,NA,4
"299",121558,1,NA,4
"300",121558,1,NA,4
"301",367250,1,NA,5
"302",367250,1,NA,5
"303",367250,1,NA,5
"304",367250,1,NA,5
"305",367250,1,NA,5
"306",169298,1,NA,5
"307",169298,1,NA,5
"308",169298,1,NA,5
"309",169298,1,NA,5
"310",169298,1,NA,5
"311",162041,1,NA,5
"312",162041,1,NA,5
"313",162041,1,NA,5
"314",162041,1,NA,5
"315",162041,1,NA,5
"316",373100,1,NA,3
"317",373100,1,NA,3
"318",373100,1,NA,3
"319",135145,2,NA,5
"320",135145,2,NA,5
"321",135145,2,NA,5
"322",135145,2,NA,5
"323",135145,2,NA,5
"324",330000,2,NA,4
"325",330000,2,NA,4
"326",330000,2,NA,4
"327",330000,2,NA,4
"328",330500,1,NA,1
"329",129295,2,NA,6
"330",129295,2,NA,6
"331",129295,2,NA,6
"332",129295,2,NA,6
"333",129295,2,NA,6
"334",129295,2,NA,6
"335",369167,3,NA,2
"336",369167,3,NA,2
"337",1e+05,2,NA,3
"338",1e+05,2,NA,3
"339",1e+05,2,NA,3
"340",324167,2,NA,3
"341",324167,2,NA,3
"342",324167,2,NA,3
"343",432833,3,NA,5
"344",432833,3,NA,5
"345",432833,3,NA,5
"346",432833,3,NA,5
"347",432833,3,NA,5
"348",384907,1,NA,1
"349",230200,1,NA,5
"350",230200,1,NA,5
"351",230200,1,NA,5
"352",230200,1,NA,5
"353",230200,1,NA,5
"354",375000,2,NA,1
"355",149406,1,NA,5
"356",149406,1,NA,5
"357",149406,1,NA,5
"358",149406,1,NA,5
"359",149406,1,NA,5
"360",46157,1,NA,2
"361",46157,1,NA,2
"362",168958,2,NA,4
"363",168958,2,NA,4
"364",168958,2,NA,4
"365",168958,2,NA,4
"366",467729,1,NA,4
"367",467729,1,NA,4
"368",467729,1,NA,4
"369",467729,1,NA,4
"370",308495,1,5,15
"371",308495,1,5,15
"372",308495,1,5,15
"373",308495,1,5,15
"374",0,2,1,8
"375",145931,2,99,8
"376",145931,2,99,8
"377",159627,1,NA,4
"378",159627,1,NA,4
"379",159627,1,NA,4
"380",159627,1,NA,4
"381",371927,1,NA,3
"382",371927,1,NA,3
"383",371927,1,NA,3
"384",105450,2,NA,2
"385",105450,2,NA,2
"386",136976,2,NA,4
"387",136976,2,NA,4
