"","ypchtotcor","v13","v29","p6"
"265",495384,1,2,4
"266",495384,1,2,4
"267",163542,2,1,7
"268",163542,2,1,7
"269",264821,1,2,5
"270",264821,1,2,5
"271",264821,1,2,5
"272",184375,3,1,6
"273",184375,3,1,6
"274",362419,1,1,5
"275",362419,1,1,5
"276",362419,1,1,5
"277",362419,1,1,5
"278",530500,2,1,2
"279",120000,2,1,2
"280",234584,3,1,6
"281",234584,3,1,6
"282",492930,1,99,6
"283",492930,1,99,6
"284",298825,1,2,4
"285",298825,1,2,4
"286",298825,1,2,4
"287",179792,2,1,6
"288",179792,2,1,6
"289",179792,2,1,6
"290",179792,2,1,6
"291",118688,3,4,6
"292",118688,3,4,6
"293",118688,3,4,6
"294",118688,3,4,6
"295",360458,2,1,5
"296",872500,1,1,4
"297",313288,2,2,5
"298",313288,2,2,5
"299",313288,2,2,5
"300",202084,2,99,5
"301",202084,2,99,5
"302",675556,1,3,5
"303",675556,1,3,5
"304",675556,1,3,5
"305",429167,1,3,6
"306",429167,1,3,6
"307",429167,1,3,6
"308",429167,1,3,6
"309",429167,1,3,6
"310",194691,9,3,6
"311",194691,9,3,6
"312",194691,9,3,6
"313",273437,1,2,5
"314",273437,1,2,5
"315",273437,1,2,5
"316",273437,1,2,5
"317",1237778,9,2,6
"318",1237778,9,2,6
"319",1237778,9,2,6
"320",464298,1,5,7
"321",464298,1,5,7
"322",464298,1,5,7
"323",464298,1,5,7
"324",464298,1,5,7
"325",1463667,2,1,2
"326",8e+05,2,1,2
"327",280000,1,1,6
"328",412000,1,1,4
"329",233333,3,99,4
"330",233333,3,99,4
"331",233333,3,99,4
"332",310000,9,2,3
"333",310000,9,2,3
"334",292500,1,2,6
"335",292500,1,2,6
"336",292500,1,2,6
"337",375167,2,2,8
"338",375167,2,2,8
"339",375167,2,2,8
"340",315177,1,1,2
"341",325333,1,1,8
"342",303543,9,2,4
"343",303543,9,2,4
"344",303543,9,2,4
"345",485000,1,5,4
"346",150000,2,1,9
"347",150000,2,1,9
"348",63229,2,99,9
"349",63229,2,99,9
"350",63229,2,99,9
"351",63229,2,99,9
"352",110000,2,3,7
"353",110000,2,3,7
"354",110000,2,3,7
"355",110000,2,3,7
"356",110000,2,3,7
"357",147788,1,2,20
"358",147788,1,2,20
"359",147788,1,2,20
"360",147788,1,2,20
"361",313125,1,2,4
"362",313125,1,2,4
"363",663333,1,1,2
"364",258000,1,4,2
"365",195833,9,3,20
"366",195833,9,3,20
"367",195833,9,3,20
"368",237500,9,3,5
